headline,date,url,source
El apoyo a las políticas migratorias de Trump se desploma tras los tiroteos en Minneapolis,2026-02-12,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Meloni reactiva las deportaciones de migrantes a Albania y la posibilidad de bloquear barcos de rescate,2026-02-12,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Residentes de Portland demandan al ICE por el uso de gas lacrimógeno que invade sus viviendas y pone en riesgo su salud,2026-02-11,https://elpais.com/noticias/inmigracion/3/,immigration_topic
El impacto negativo del envejecimiento sobre la economía hubiera sido el doble sin la inmigración,2026-02-11,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Las autopsias de los migrantes que naufragaron en el Egeo apuntan a muerte por lesiones en la cabeza y no por ahogamiento,2026-02-11,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Algo pasa en Usera: españoles llegando desde el centro, un mercado inmobiliario chino paralelo, nuevos inversores y los latinos marchándose",2026-02-11,https://elpais.com/noticias/inmigracion/3/,immigration_topic
La falta de acuerdo en el Congreso augura el cierre del Departamento de Seguridad Nacional,2026-02-11,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Congresistas demócratas interrogan a los jefes migratorios de Estados Unidos: “Si no quieren que les llamen Gestapo, dejen de actuar como tal”",2026-02-11,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Europa avanza hacia la creación de centros de deportación de inmigrantes fuera de la UE,2026-02-10,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Un tribunal de apelaciones permite a Trump revocar el TPS de más de 60.000 hondureños, nicaragüenses y nepalíes",2026-02-10,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Desalojo en el mayor asentamiento de Barcelona para acabar con una plaga de ratas,2026-02-10,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Autoridades locales y estatales impiden al ICE convertir almacenes en centros de detención,2026-02-10,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Un juez bloquea la ley de California que prohíbe a los agentes federales taparse la cara,2026-02-10,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Se detectan dos casos de tuberculosis y 18 de covid-19 en el mayor centro de detención de migrantes de Estados Unidos,2026-02-10,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Más de 50 migrantes muertos, entre ellos dos bebés, al volcar su embarcación de goma frente a la costa de Libia",2026-02-09,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Los inmigrantes con delitos o antecedentes, la gran incógnita en la regularización de extranjeros",2026-02-09,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Trump va a robar las elecciones,2026-02-09,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Atrapados en el mayor poblado ilegal de inmigrantes de Europa: así se mantiene la industria del trabajo en negro en Italia,2026-02-09,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Empresarios con coraje,2026-02-08,https://elpais.com/noticias/inmigracion/3/,immigration_topic
⁠Liam y los otros niños ecuatorianos atrapados entre la política migratoria de Trump y el silencio de Noboa,2026-02-08,https://elpais.com/noticias/inmigracion/3/,immigration_topic
La inmigración y el empleo de los españoles,2026-02-08,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Un medievalista de origen español en los tiempos del ICE: extranjero en su propio país,2026-02-08,https://elpais.com/noticias/inmigracion/3/,immigration_topic
