url,ministry,year,slug,date
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/210225-albares-g20-agenda-2030-ucrania.aspx,exteriores,2025,210225-albares-g20-agenda-2030-ucrania,2025-02-21
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/210525-alabares-festival-belga-europalia.aspx,exteriores,2025,210525-alabares-festival-belga-europalia,2025-05-21
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/210525-albares-ministro-republica-dominicana.aspx,exteriores,2025,210525-albares-ministro-republica-dominicana,2025-05-21
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/210725-declaracion-conjunta-alto-fuego-gaza.aspx,exteriores,2025,210725-declaracion-conjunta-alto-fuego-gaza,2025-07-21
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/210825-sanciones-contra-corte-internacional.aspx,exteriores,2025,210825-sanciones-contra-corte-internacional,2025-08-21
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/220125-albares-davos-politica-exterior.aspx,exteriores,2025,220125-albares-davos-politica-exterior,2025-01-22
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/220425-albares-inteligencia-artificial-paz.aspx,exteriores,2025,220425-albares-inteligencia-artificial-paz,2025-04-22
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/220725-espana-condena-resolucion-knesset.aspx,exteriores,2025,220725-espana-condena-resolucion-knesset,2025-07-22
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/230525-albares-compromiso-sahel-africa-occidental.aspx,exteriores,2025,230525-albares-compromiso-sahel-africa-occidental,2025-05-23
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/240225-tercer-aniversario-agresion-rusa-ucrania.aspx,exteriores,2025,240225-tercer-aniversario-agresion-rusa-ucrania,2025-02-24
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/240425-albares-ministro-economia-eau.aspx,exteriores,2025,240425-albares-ministro-economia-eau,2025-04-24
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/241025-albares-generadores-ucrania.aspx,exteriores,2025,241025-albares-generadores-ucrania,2025-10-24
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/250225-albares-ongd-palestina.aspx,exteriores,2025,250225-albares-ongd-palestina,2025-02-25
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/250225-lenguas-cooficiales-instituciones-europeas.aspx,exteriores,2025,250225-lenguas-cooficiales-instituciones-europeas,2025-02-25
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/250325-albares-africa-nigeria.aspx,exteriores,2025,250325-albares-africa-nigeria,2025-03-25
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/250825-condena-ataque-israeli-hospital.aspx,exteriores,2025,250825-condena-ataque-israeli-hospital,2025-08-25
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/251125-albares-cooperacion-caribe.aspx,exteriores,2025,251125-albares-cooperacion-caribe,2025-11-25
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/260225-albares-consejo-derechos-humanos.aspx,exteriores,2025,260225-albares-consejo-derechos-humanos,2025-02-26
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/270125-comunicado-dia-victimas-holocausto.aspx,exteriores,2025,270125-comunicado-dia-victimas-holocausto,2025-01-27
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/270225-albares-corte-penal-internacional.aspx,exteriores,2025,270225-albares-corte-penal-internacional,2025-02-27
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/270325-albares-tunez-nafti.aspx,exteriores,2025,270325-albares-tunez-nafti,2025-03-27
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/280125-albares-viaje-ucrania.aspx,exteriores,2025,280125-albares-viaje-ucrania,2025-01-28
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/280325-albares-ucrania-ministra-letona.aspx,exteriores,2025,280325-albares-ucrania-ministra-letona,2025-03-28
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/280525-albares-reconocimiento-palestina.aspx,exteriores,2025,280525-albares-reconocimiento-palestina,2025-05-28
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/280625-albares-embajador-derechos-lgtbiq-.aspx,exteriores,2025,280625-albares-embajador-derechos-lgtbiq-,2025-06-28
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/290125-retos-presidencia-polonia-ue.aspx,exteriores,2025,290125-retos-presidencia-polonia-ue,2025-01-29
